"leaid","neighbor_leaid"
"0638430","0643170"
"0638430","0633270"
"0638430","0606570"
"0638430","0638340"
"0638430","0621870"
"0638430","0600064"
"0639870","0606107"
"0639870","0639300"
"0639870","0638430"
"0639870","0643170"
"0639870","0629670"
"0639870","0627900"
"0639870","0606420"
"0639870","0621570"
"0639870","0638340"
"0638130","0638430"
"0638130","0637770"
"0638130","0601423"
"0638130","0621870"
"0638130","0600064"
"0638040","0610350"
"0638040","0601418"
"0638040","0641160"
"0607410","0699005"
"0607410","0620610"
"0607410","0619860"
"0607410","0608370"
"0607410","0601339"
"0620610","0609810"
"0620610","0606025"
"0620610","0607410"
"0620610","0619860"
"0620610","0600045"
"0620610","0601339"
"0630870","0642710"
"0630870","0600045"
"0630870","0601339"
"0625980","0632310"
"0625980","0615450"
"0625980","0606270"
"0625980","0630780"
"0625980","0615390"
"0625980","0621180"
"0625980","0630480"
"0625980","0602450"
"0632310","0625980"
"0632310","0615450"
"0632310","0606270"
"0632310","0613890"
"0632310","0605240"
"0615450","0625980"
"0615450","0632310"
"0615450","0630780"
"0615450","0605240"
"0636810","0631290"
"0636810","0607170"
"0636810","0620640"
"0636810","0605240"
"0606270","0625980"
"0606270","0632310"
"0606270","0621180"
"0606270","0613890"
"0630780","0625980"
"0630780","0615450"
"0630780","0615390"
"0630780","0607170"
"0630780","0605240"
"0631290","0636810"
"0631290","0615390"
"0631290","0630480"
"0631290","0607170"
"0631290","0602450"
"0631290","0620640"
"0631290","0605240"
"0615390","0625980"
"0615390","0630780"
"0615390","0631290"
"0615390","0630480"
"0615390","0607170"
"0621180","0625980"
"0621180","0606270"
"0621180","0612330"
"0621180","0602450"
"0621180","0613890"
"0630480","0625980"
"0630480","0631290"
"0630480","0615390"
"0630480","0618240"
"0630480","0602450"
"0618240","0630480"
"0618240","0602450"
"0607170","0636810"
"0607170","0630780"
"0607170","0631290"
"0607170","0615390"
"0607170","0605240"
"0600006","0635110"
"0600006","0611220"
"0600006","0619380"
"0600006","0620520"
"0600006","0633660"
"0600006","0635090"
"0605520","0619380"
"0605520","0620520"
"0605520","0624870"
"0605520","0636670"
"0611220","0638790"
"0611220","0600006"
"0611220","0620520"
"0611220","0627300"
"0611220","0635090"
"0611220","0627720"
"0619380","0635110"
"0619380","0600006"
"0619380","0605520"
"0619380","0620520"
"0619380","0620910"
"0619380","0624870"
"0619380","0633660"
"0619380","0635090"
"0620430","0638790"
"0620430","0621660"
"0620430","0627300"
"0620430","0630230"
"0620430","0640260"
"0620430","0642750"
"0620430","0636670"
"0620520","0635110"
"0620520","0600006"
"0620520","0605520"
"0620520","0611220"
"0620520","0619380"
"0620520","0627300"
"0620520","0636670"
"0620910","0619380"
"0620910","0624870"
"0620910","0632160"
"0621660","0638790"
"0621660","0620430"
"0621660","0627300"
"0621660","0630230"
"0621660","0642750"
"0621660","0627720"
"0624870","0605520"
"0624870","0619380"
"0624870","0620910"
"0624870","0632160"
"0624870","0636000"
"0627300","0630250"
"0627300","0635110"
"0627300","0611220"
"0627300","0620430"
"0627300","0620520"
"0627300","0621660"
"0627300","0627720"
"0627300","0636670"
"0611760","0639930"
"0611760","0606107"
